orf_id,transcript,gene,is_canonical,classification,orf_class,chromosome,coor1,coor2,strand
orf3892,chr1_100225,YAL025C,canonical,conserved,Verified,chrI,100225,101145,-
orf4745,chr1_101565,YAL024C,canonical,conserved,Verified,chrI,101565,105872,-
orf4743,chr1_106272,YAL023C,canonical,conserved,Verified,chrI,106272,108551,-
orf3870,chr1_108877,YAL022C,canonical,conserved,Verified,chrI,108877,110430,-
orf1242,chr1_109388,NA,noncanonical,other,None,chrI,109388,109801,+
orf3022,chr1_110846,YAL021C,canonical,conserved,Verified,chrI,110846,113359,-
orf2172,chr1_112962,NA,noncanonical,denovo,None,chrI,112962,113336,+
orf3856,chr1_113614,YAL020C,canonical,conserved,Verified,chrI,113614,114615,-
orf409,chr1_114919,YAL019W,canonical,conserved,Verified,chrI,114919,118314,+
orf5046,chr1_11565,YAL065C,canonical,other,Uncharacterized,chrI,11565,11951,-
orf3840,chr1_118564,YAL018C,canonical,conserved,Verified,chrI,118564,119541,-
orf2193,chr1_120225,YAL017W,canonical,conserved,Verified,chrI,120225,124295,+
orf60,chr1_12046,YAL064W-B,canonical,conserved,Uncharacterized,chrI,12046,12426,+
orf4679,chr1_124755,YAL016C-A,noncanonical,other,Dubious,chrI,124755,125069,-
orf455,chr1_124879,YAL016W,canonical,conserved,Verified,chrI,124879,126786,+
orf4672,chr1_126903,YAL015C,canonical,conserved,Verified,chrI,126903,128102,-
orf2959,chr1_128252,YAL014C,canonical,conserved,Verified,chrI,128252,129019,-
orf2206,chr1_129270,YAL013W,canonical,conserved,Verified,chrI,129270,130487,+
orf1336,chr1_130799,YAL012W,canonical,conserved,Verified,chrI,130799,131983,+
orf3795,chr1_131674,NA,noncanonical,other,None,chrI,131674,131952,-
orf467,chr1_132160,YAL011W,canonical,conserved,Verified,chrI,132160,134076,+
orf4236,chr1_13363,YAL064C-A,canonical,conserved,Uncharacterized,chrI,13363,13743,-
orf4655,chr1_134184,YAL010C,canonical,conserved,Verified,chrI,134184,135665,-
orf1357,chr1_135854,YAL009W,canonical,conserved,Verified,chrI,135854,136633,+
orf473,chr1_136630,NA,noncanonical,other,None,chrI,136630,136713,+
orf2224,chr1_136914,YAL008W,canonical,conserved,Verified,chrI,136914,137510,+
orf2225,chr1_137520,NA,noncanonical,denovo,None,chrI,137520,137609,+
orf3776,chr1_137698,YAL007C,canonical,conserved,Verified,chrI,137698,138345,-
orf3774,chr1_139300,NA,noncanonical,denovo,None,chrI,139300,139470,-
orf4638,chr1_139503,YAL005C,canonical,conserved,Verified,chrI,139503,141431,-
orf4637,chr1_142107,NA,noncanonical,other,None,chrI,142107,142247,-
NA,chr1_142174,YAL003W,canonical,conserved,Verified,chrI,142174,143160,+
orf3771,chr1_143170,NA,noncanonical,other,None,chrI,143170,143319,-
orf502,chr1_143707,YAL002W,canonical,conserved,Verified,chrI,143707,147531,+
NA,chr1_147594,YAL001C,canonical,conserved,Verified,chrI,147594,151166,-
orf519,chr1_152257,YAR002W,canonical,conserved,Verified,chrI,152257,153876,+
orf3736,chr1_153862,NA,noncanonical,other,None,chrI,153862,153948,-
orf4604,chr1_154065,YAR002C-A,canonical,conserved,Verified,chrI,154065,154724,-
orf521,chr1_154147,NA,noncanonical,other,None,chrI,154147,154395,+
orf524,chr1_155005,YAR003W,canonical,conserved,Verified,chrI,155005,156285,+
orf3721,chr1_156754,YAR007C,canonical,conserved,Verified,chrI,156754,158619,-
orf1450,chr1_158891,YAR008W,canonical,conserved,Verified,chrI,158891,159793,+
orf3711,chr1_160597,YAR009C,canonical,conserved,transposable_element_gene,chrI,160597,164187,-
orf5035,chr1_16236,NA,noncanonical,other,None,chrI,16236,16427,-
orf2802,chr1_166472,NA,noncanonical,other,None,chrI,166472,166621,-
orf2801,chr1_166742,YAR014C,canonical,conserved,Verified,chrI,166742,168871,-
orf4226,chr1_16933,NA,noncanonical,other,None,chrI,16933,17091,-
orf579,chr1_169375,YAR015W,canonical,conserved,Verified,chrI,169375,170295,+
orf2792,chr1_170396,YAR018C,canonical,conserved,Verified,chrI,170396,171703,-
orf2358,chr1_172110,NA,noncanonical,denovo,None,chrI,172110,172220,+
orf2788,chr1_172211,YAR019C,canonical,conserved,Verified,chrI,172211,175135,-
orf4223,chr1_17455,NA,noncanonical,other,None,chrI,17455,17721,-
orf599,chr1_175369,NA,noncanonical,other,None,chrI,175369,175476,+
orf1522,chr1_175430,NA,noncanonical,other,None,chrI,175430,175561,+
orf2376,chr1_175563,NA,noncanonical,other,None,chrI,175563,175673,+
orf4505,chr1_176856,YAR020C,canonical,conserved,Verified,chrI,176856,177023,-
orf4500,chr1_178146,NA,noncanonical,other,None,chrI,178146,178256,-
orf4221,chr1_17905,NA,noncanonical,other,None,chrI,17905,18036,-
orf3630,chr1_179281,YAR023C,canonical,conserved,Uncharacterized,chrI,179281,179820,-
orf3629,chr1_180103,NA,noncanonical,denovo,None,chrI,180103,180222,-
orf4486,chr1_180453,NA,noncanonical,other,None,chrI,180453,180605,-
orf2405,chr1_180543,NA,noncanonical,other,None,chrI,180543,180767,+
orf4295,chr1_1807,YAL068C,canonical,conserved,Verified,chrI,1807,2169,-
orf4480,chr1_181554,NA,noncanonical,other,None,chrI,181554,181706,-
orf4477,chr1_182130,NA,noncanonical,other,None,chrI,182130,182291,-
orf2757,chr1_183200,NA,noncanonical,other,None,chrI,183200,183358,-
orf1556,chr1_183434,NA,noncanonical,other,None,chrI,183434,183601,+
orf1557,chr1_183770,YAR027W,canonical,conserved,Verified,chrI,183770,184477,+
orf2752,chr1_184097,NA,noncanonical,other,None,chrI,184097,184279,-
orf1559,chr1_184892,YAR028W,canonical,conserved,Uncharacterized,chrI,184892,185596,+
orf649,chr1_185968,NA,noncanonical,other,None,chrI,185968,186120,+
orf2431,chr1_186321,YAR029W,canonical,conserved,Uncharacterized,chrI,186321,186545,+
orf2741,chr1_186512,YAR030C,noncanonical,other,Dubious,chrI,186512,186853,-
orf1567,chr1_186836,YAR031W,canonical,conserved,Verified,chrI,186836,187732,+
orf3607,chr1_186976,NA,noncanonical,other,None,chrI,186976,187119,-
orf4455,chr1_187191,NA,noncanonical,denovo,None,chrI,187191,187307,-
orf2736,chr1_187811,NA,noncanonical,other,None,chrI,187811,187891,-
orf657,chr1_188107,YAR033W,canonical,conserved,Verified,chrI,188107,188811,+
orf2734,chr1_188822,NA,noncanonical,other,None,chrI,188822,188950,-
orf4449,chr1_189732,NA,noncanonical,other,None,chrI,189732,189806,-
orf4448,chr1_189816,NA,noncanonical,denovo,None,chrI,189816,189962,-
orf2729,chr1_189962,NA,noncanonical,other,None,chrI,189962,190021,-
orf1583,chr1_190193,YAR035W,canonical,conserved,Verified,chrI,190193,192256,+
orf665,chr1_192619,YAR042W,canonical,conserved,Verified,chrI,192619,196185,+
orf1607,chr1_196817,NA,noncanonical,other,None,chrI,196817,196954,+
orf1608,chr1_196976,NA,noncanonical,other,None,chrI,196976,197173,+
orf1609,chr1_197213,NA,noncanonical,other,None,chrI,197213,197371,+
orf3562,chr1_197821,NA,noncanonical,other,None,chrI,197821,197946,-
orf1613,chr1_198659,NA,noncanonical,other,None,chrI,198659,198757,+
orf2467,chr1_199128,NA,noncanonical,other,None,chrI,199128,199214,+
orf2471,chr1_199578,NA,noncanonical,other,None,chrI,199578,199688,+
orf684,chr1_200860,NA,noncanonical,other,None,chrI,200860,200946,+
orf2482,chr1_200946,NA,noncanonical,other,None,chrI,200946,201086,+
orf2492,chr1_203403,YAR050W,canonical,conserved,Verified,chrI,203403,208016,+
orf2668,chr1_207788,NA,noncanonical,other,None,chrI,207788,207988,-
orf1654,chr1_208367,YAR053W,noncanonical,other,Dubious,chrI,208367,208663,+
orf896,chr1_21257,NA,noncanonical,other,None,chrI,21257,21364,+
orf899,chr1_21566,YAL064W,canonical,other,Verified,chrI,21566,21850,+
orf2545,chr1_221049,YAR066W,canonical,conserved,Uncharacterized,chrI,221049,221660,+
orf770,chr1_222406,YAR068W,canonical,other,Uncharacterized,chrI,222406,222891,+
orf5002,chr1_22395,YAL063C-A,canonical,other,Uncharacterized,chrI,22395,22685,-
orf781,chr1_225460,YAR071W,canonical,conserved,Verified,chrI,225460,226863,+
orf2565,chr1_227742,YAR073W,noncanonical,other,Dubious,chrI,227742,228953,+
orf793,chr1_228844,YAR075W,noncanonical,other,Dubious,chrI,228844,229317,+
orf4991,chr1_24000,YAL063C,canonical,conserved,Verified,chrI,24000,27968,-
orf4174,chr1_29011,NA,noncanonical,other,None,chrI,29011,29178,-
orf944,chr1_30281,NA,noncanonical,other,None,chrI,30281,30388,+
orf3282,chr1_31214,NA,noncanonical,denovo,None,chrI,31214,31372,-
orf1860,chr1_31353,NA,noncanonical,other,None,chrI,31353,31481,+
orf141,chr1_31567,YAL062W,canonical,conserved,Verified,chrI,31567,32940,+
orf4975,chr1_31596,NA,noncanonical,other,None,chrI,31596,31697,-
orf4164,chr1_31879,NA,noncanonical,other,None,chrI,31879,31986,-
orf3280,chr1_31964,NA,noncanonical,other,None,chrI,31964,32071,-
orf4973,chr1_32187,NA,noncanonical,other,None,chrI,32187,32345,-
orf4972,chr1_32361,NA,noncanonical,other,None,chrI,32361,32591,-
orf4971,chr1_32769,NA,noncanonical,other,None,chrI,32769,32900,-
orf144,chr1_33448,YAL061W,canonical,conserved,Uncharacterized,chrI,33448,34701,+
orf4158,chr1_33499,NA,noncanonical,other,None,chrI,33499,33639,-
orf3273,chr1_33632,NA,noncanonical,other,None,chrI,33632,33844,-
orf3272,chr1_34031,NA,noncanonical,denovo,None,chrI,34031,34243,-
orf4156,chr1_34105,NA,noncanonical,other,None,chrI,34105,34476,-
orf1869,chr1_34698,NA,noncanonical,other,None,chrI,34698,34757,+
orf145,chr1_34807,NA,noncanonical,other,None,chrI,34807,34875,+
orf147,chr1_35155,YAL060W,canonical,conserved,Verified,chrI,35155,36303,+
orf4147,chr1_36496,YAL059C-A,noncanonical,other,Dubious,chrI,36496,36918,-
orf974,chr1_36509,YAL059W,canonical,conserved,Verified,chrI,36509,37147,+
orf149,chr1_37159,NA,noncanonical,denovo,None,chrI,37159,37254,+
orf1880,chr1_37464,YAL058W,canonical,conserved,Verified,chrI,37464,38972,+
orf167,chr1_39259,YAL056W,canonical,conserved,Verified,chrI,39259,41901,+
orf1894,chr1_42177,YAL055W,canonical,conserved,Verified,chrI,42177,42719,+
orf3241,chr1_42272,NA,noncanonical,denovo,None,chrI,42272,42538,-
orf4930,chr1_42816,NA,noncanonical,other,None,chrI,42816,42881,-
orf3239,chr1_42881,YAL054C,canonical,conserved,Verified,chrI,42881,45022,-
orf1010,chr1_43730,NA,noncanonical,other,None,chrI,43730,43891,+
orf3237,chr1_45338,NA,noncanonical,denovo,None,chrI,45338,45523,-
orf1019,chr1_45899,YAL053W,canonical,conserved,Verified,chrI,45899,48250,+
orf1922,chr1_48564,YAL051W,canonical,conserved,Verified,chrI,48564,51707,+
orf4895,chr1_51855,YAL049C,canonical,conserved,Verified,chrI,51855,52595,-
orf4066,chr1_52801,YAL048C,canonical,conserved,Verified,chrI,52801,54789,-
orf5078,chr1_5379,NA,noncanonical,other,None,chrI,5379,5609,-
orf1037,chr1_54584,YAL047W-A,noncanonical,other,Dubious,chrI,54584,54913,+
orf3210,chr1_54989,YAL047C,canonical,conserved,Verified,chrI,54989,56857,-
orf3208,chr1_57029,YAL046C,canonical,conserved,Verified,chrI,57029,57385,-
